author_id,paper_id,is_industry_author
95f875f0995c,16655912,False
2e9fba049705,16655912,False
ab35a35cf793,6932432,False
176e01a8e2e6,7366892,False
241005a79bc7,6951348,False
ea708150e487,6911364,False
ab35a35cf793,6911364,False
aa832c84215a,6911364,False
ab6399509d4d,6582366,False
050f51b98329,6657634,False
7fca31d80bb3,6657634,False
7a98376cae0a,6657634,False
23e3781974f8,6657634,False
dc2e90a62719,6657634,False
a1872d7a164f,6619721,False
83d0e1b75e76,6619721,False
53014d16f44e,6619721,False
9fbfe877c38a,6585103,False
495bc9bb15d8,12179603,False
7e465f1e06a6,12179599,False
c1cf125c09ff,4072809,False
1652da5b183f,4072809,False
f86e93d44b38,2947182,False
756b51d5122d,2947182,False
f69708863984,3568015,False
3bffb22b8269,3135084,False
53269798fb17,3357466,False
e376208078bc,3237761,False
0dc8c3d1e7a7,3237761,False
c9845774f952,3237761,False
f0e030c4da20,3237761,False
f1f5bf0c0fe3,3237761,False
f0a3007a04ff,3237761,False
98f4e28a228f,3237761,False
c1733b7c469e,3237761,False
f0e030c4da20,2739680,False
2baae71adeef,2739680,False
f1f5bf0c0fe3,2739680,False
09f8a497ccd4,2739680,False
e376208078bc,2739680,False
12719bf66aa8,2739680,False
b4aac2229619,2739680,False
28b5a6912d91,2739680,False
fd29d4b7953c,2739680,False
277933a5335a,2739680,False
316697d876f6,7580225,False
ebe9ee784468,2246349,False
e376208078bc,2246349,False
589bb1cdab17,2246349,False
5f9d61483b5a,2246349,False
bac6f311991b,2246349,False
6d43e648fad9,2242716,False
79b46b9e965f,2242716,False
11eaf87744b3,2242716,False
f0e030c4da20,2272562,False
2baae71adeef,2272562,False
fd29d4b7953c,2272562,False
fb9d966ce647,2272562,False
12719bf66aa8,2272562,False
bac6f311991b,2272562,False
f1f5bf0c0fe3,2272562,False
c1733b7c469e,2272562,False
e376208078bc,2401755,False
33d53de5d125,2401755,False
f0e030c4da20,2401755,False
0dc8c3d1e7a7,2401755,False
ebe9ee784468,2401755,False
2baae71adeef,2401755,False
c9845774f952,2401755,False
f1f5bf0c0fe3,2401755,False
47f259b93cf5,2401755,False
f0a3007a04ff,2401755,False
231e630776b1,2332922,False
95bedb3372ae,2332922,False
ab35a35cf793,2188242,False
2ec1fa863745,2188242,False
